case_id,main_workflow_hit,preferred_pattern_hit,cross_page_state_transition,p1_uplifted,p2_cap,final_priority
TC-001,True,False,False,False,False,P1
TC-002,True,False,False,False,False,P1
TC-003,True,False,False,False,False,P1
TC-004,True,False,False,False,False,P1
TC-005,True,False,False,False,False,P1
TC-006,False,False,False,False,False,P1
TC-007,False,False,False,False,False,P1
TC-008,False,False,False,False,False,P1
TC-009,False,False,False,False,False,P2
TC-010,False,False,True,False,False,P1
TC-011,False,False,False,False,False,P2
TC-012,False,False,False,False,False,P2
TC-013,False,False,True,True,False,P2
TC-014,False,False,False,False,False,P1
TC-015,True,False,False,False,False,P1
TC-016,False,False,True,False,False,P1
TC-017,True,False,False,False,False,P1
TC-018,True,False,False,False,False,P1
TC-019,True,False,False,True,False,P2
TC-020,True,False,True,False,False,P2
TC-021,True,False,False,False,False,P1
TC-022,True,False,False,True,False,P2
TC-023,False,False,False,False,False,P1
TC-024,False,False,False,False,False,P1
TC-025,False,False,False,False,False,P1
TC-026,False,False,False,False,False,P1
TC-027,False,False,False,False,False,P1
TC-028,False,False,True,False,False,P1
TC-029,False,False,True,False,False,P1
TC-030,False,False,False,False,False,P1
TC-031,False,False,False,False,False,P1
TC-032,False,False,False,False,False,P1
TC-033,False,False,True,True,False,P2
TC-034,False,False,True,False,False,P1
TC-035,False,False,True,False,False,P1
TC-036,False,False,True,False,False,P1
TC-037,False,False,True,False,False,P1
TC-038,False,False,True,False,False,P1
TC-039,False,False,True,False,False,P1
TC-040,True,False,True,False,False,P1
